country,geo,indicator.name,indicator,year,tfr
Senegal,sen,Total fertility rate,tfr,1800,5.7
Serbia,srb,Total fertility rate,tfr,1800,5.9
Seychelles,syc,Total fertility rate,tfr,1800,5.16
Sierra Leone,sle,Total fertility rate,tfr,1800,5.72
Singapore,sgp,Total fertility rate,tfr,1800,5.47
Slovak Republic,svk,Total fertility rate,tfr,1800,5.94
Slovenia,svn,Total fertility rate,tfr,1800,4.93
Solomon Islands,slb,Total fertility rate,tfr,1800,6.42
Somalia,som,Total fertility rate,tfr,1800,6.87
South Africa,zaf,Total fertility rate,tfr,1800,6.47
Spain,esp,Total fertility rate,tfr,1800,5.13
Sri Lanka,lka,Total fertility rate,tfr,1800,5.68
Sudan,sdn,Total fertility rate,tfr,1800,6.64
Suriname,sur,Total fertility rate,tfr,1800,6.58
Swaziland,swz,Total fertility rate,tfr,1800,6.71
Sweden,swe,Total fertility rate,tfr,1800,4.07
Switzerland,che,Total fertility rate,tfr,1800,4.14
Syria,syr,Total fertility rate,tfr,1800,6.85
Taiwan,twn,Total fertility rate,tfr,1800,5.83
Tajikistan,tjk,Total fertility rate,tfr,1800,5.87
Tanzania,tza,Total fertility rate,tfr,1800,6.74
Thailand,tha,Total fertility rate,tfr,1800,6.35
Timor-Leste,tls,Total fertility rate,tfr,1800,6.52
Togo,tgo,Total fertility rate,tfr,1800,6.34
Tonga,ton,Total fertility rate,tfr,1800,6.51
Trinidad and Tobago,tto,Total fertility rate,tfr,1800,4.44
Tunisia,tun,Total fertility rate,tfr,1800,6.4
Turkey,tur,Total fertility rate,tfr,1800,6.92
Turkmenistan,tkm,Total fertility rate,tfr,1800,6.22
Uganda,uga,Total fertility rate,tfr,1800,6.89
Ukraine,ukr,Total fertility rate,tfr,1800,7.5
United Arab Emirates,are,Total fertility rate,tfr,1800,6.94
United Kingdom,gbr,Total fertility rate,tfr,1800,4.97
United States,usa,Total fertility rate,tfr,1800,7.03
Uruguay,ury,Total fertility rate,tfr,1800,5.97
Uzbekistan,uzb,Total fertility rate,tfr,1800,5.71
Vanuatu,vut,Total fertility rate,tfr,1800,6.6
Venezuela,ven,Total fertility rate,tfr,1800,5.63
Palestine,pse,Total fertility rate,tfr,1800,6.97
Western Sahara,esh,Total fertility rate,tfr,1800,6.32
Vietnam,vnm,Total fertility rate,tfr,1800,4.7
Virgin Islands (U.S.),vir,Total fertility rate,tfr,1800,5.55
Yemen,yem,Total fertility rate,tfr,1800,6.88
Zambia,zmb,Total fertility rate,tfr,1800,6.71
Zimbabwe,zwe,Total fertility rate,tfr,1800,6.75
South Sudan,ssd,Total fertility rate,tfr,1800,6.64
Afghanistan,afg,Total fertility rate,tfr,1801,7.0
Albania,alb,Total fertility rate,tfr,1801,4.6
Algeria,dza,Total fertility rate,tfr,1801,6.99
Angola,ago,Total fertility rate,tfr,1801,6.93
Antigua and Barbuda,atg,Total fertility rate,tfr,1801,5.0
Argentina,arg,Total fertility rate,tfr,1801,6.8
Armenia,arm,Total fertility rate,tfr,1801,7.8
Aruba,abw,Total fertility rate,tfr,1801,5.64
Australia,aus,Total fertility rate,tfr,1801,6.48
Austria,aut,Total fertility rate,tfr,1801,5.1
Azerbaijan,aze,Total fertility rate,tfr,1801,8.1
Bahamas,bhs,Total fertility rate,tfr,1801,5.9
Bahrain,bhr,Total fertility rate,tfr,1801,7.03
Bangladesh,bgd,Total fertility rate,tfr,1801,6.7
Barbados,brb,Total fertility rate,tfr,1801,4.93
Belarus,blr,Total fertility rate,tfr,1801,7.0
Belgium,bel,Total fertility rate,tfr,1801,4.85
Belize,blz,Total fertility rate,tfr,1801,6.69
Benin,ben,Total fertility rate,tfr,1801,5.55
Bhutan,btn,Total fertility rate,tfr,1801,6.67
Bolivia,bol,Total fertility rate,tfr,1801,6.48
Bosnia and Herzegovina,bih,Total fertility rate,tfr,1801,5.91
Botswana,bwa,Total fertility rate,tfr,1801,6.47
Brazil,bra,Total fertility rate,tfr,1801,6.26
Brunei,brn,Total fertility rate,tfr,1801,7.06
Bulgaria,bgr,Total fertility rate,tfr,1801,5.16
Burkina Faso,bfa,Total fertility rate,tfr,1801,6.03
Burundi,bdi,Total fertility rate,tfr,1801,6.8
Cambodia,khm,Total fertility rate,tfr,1801,6.95
Cameroon,cmr,Total fertility rate,tfr,1801,5.54
Canada,can,Total fertility rate,tfr,1801,5.72
Cape Verde,cpv,Total fertility rate,tfr,1801,6.43
Central African Republic,caf,Total fertility rate,tfr,1801,6.51
Chad,tcd,Total fertility rate,tfr,1801,6.06
Channel Islands,chanisl,Total fertility rate,tfr,1801,5.07
Chile,chl,Total fertility rate,tfr,1801,5.98
China,chn,Total fertility rate,tfr,1801,5.5
Colombia,col,Total fertility rate,tfr,1801,6.19
Comoros,com,Total fertility rate,tfr,1801,6.01
"Congo, Dem. Rep.",cod,Total fertility rate,tfr,1801,5.99
"Congo, Rep.",cog,Total fertility rate,tfr,1801,5.67
Costa Rica,cri,Total fertility rate,tfr,1801,6.93
Cote d'Ivoire,civ,Total fertility rate,tfr,1801,6.78
Croatia,hrv,Total fertility rate,tfr,1801,5.75
Cuba,cub,Total fertility rate,tfr,1801,5.78
Cyprus,cyp,Total fertility rate,tfr,1801,6.03
Czech Republic,cze,Total fertility rate,tfr,1801,5.32
Denmark,dnk,Total fertility rate,tfr,1801,4.04
Djibouti,dji,Total fertility rate,tfr,1801,6.3
Dominican Republic,dom,Total fertility rate,tfr,1801,6.16
Ecuador,ecu,Total fertility rate,tfr,1801,6.98
Egypt,egy,Total fertility rate,tfr,1801,6.06
El Salvador,slv,Total fertility rate,tfr,1801,5.9
Equatorial Guinea,gnq,Total fertility rate,tfr,1801,5.51
Eritrea,eri,Total fertility rate,tfr,1801,6.96
Estonia,est,Total fertility rate,tfr,1801,5.5
Ethiopia,eth,Total fertility rate,tfr,1801,7.17
Fiji,fji,Total fertility rate,tfr,1801,6.45
Finland,fin,Total fertility rate,tfr,1801,5.07
France,fra,Total fertility rate,tfr,1801,4.36
French Guiana,guf,Total fertility rate,tfr,1801,6.27
French Polynesia,pyf,Total fertility rate,tfr,1801,5.97
Gabon,gab,Total fertility rate,tfr,1801,6.5
Gambia,gmb,Total fertility rate,tfr,1801,6.51
Georgia,geo,Total fertility rate,tfr,1801,7.8
Germany,deu,Total fertility rate,tfr,1801,5.4
Ghana,gha,Total fertility rate,tfr,1801,6.43
Greece,grc,Total fertility rate,tfr,1801,6.03
Greenland,grl,Total fertility rate,tfr,1801,4.89
Grenada,grd,Total fertility rate,tfr,1801,5.81
Guadeloupe,glp,Total fertility rate,tfr,1801,5.62
Guam,gum,Total fertility rate,tfr,1801,6.37
Guatemala,gtm,Total fertility rate,tfr,1801,6.45
Guinea,gin,Total fertility rate,tfr,1801,6.11
Guinea-Bissau,gnb,Total fertility rate,tfr,1801,7.25
Guyana,guy,Total fertility rate,tfr,1801,5.01
Haiti,hti,Total fertility rate,tfr,1801,6.31
Honduras,hnd,Total fertility rate,tfr,1801,6.05
"Hong Kong, China",hkg,Total fertility rate,tfr,1801,5.47
Hungary,hun,Total fertility rate,tfr,1801,5.18
Iceland,isl,Total fertility rate,tfr,1801,4.88
India,ind,Total fertility rate,tfr,1801,5.95
Indonesia,idn,Total fertility rate,tfr,1801,6.07
Iran,irn,Total fertility rate,tfr,1801,7.08
Iraq,irq,Total fertility rate,tfr,1801,7.13
Ireland,irl,Total fertility rate,tfr,1801,4.2
Israel,isr,Total fertility rate,tfr,1801,5.99
Italy,ita,Total fertility rate,tfr,1801,5.47
Jamaica,jam,Total fertility rate,tfr,1801,5.13
Japan,jpn,Total fertility rate,tfr,1801,4.11
Jordan,jor,Total fertility rate,tfr,1801,6.97
Kazakhstan,kaz,Total fertility rate,tfr,1801,6.45
Kenya,ken,Total fertility rate,tfr,1801,6.91
Kiribati,kir,Total fertility rate,tfr,1801,5.67
North Korea,prk,Total fertility rate,tfr,1801,6.1
South Korea,kor,Total fertility rate,tfr,1801,6.0
Kuwait,kwt,Total fertility rate,tfr,1801,6.87
Kyrgyz Republic,kgz,Total fertility rate,tfr,1801,6.58
Lao,lao,Total fertility rate,tfr,1801,6.13
Latvia,lva,Total fertility rate,tfr,1801,5.19
Lebanon,lbn,Total fertility rate,tfr,1801,5.74
Lesotho,lso,Total fertility rate,tfr,1801,5.84
Liberia,lbr,Total fertility rate,tfr,1801,6.19
Libya,lby,Total fertility rate,tfr,1801,7.2
Lithuania,ltu,Total fertility rate,tfr,1801,5.76
Luxembourg,lux,Total fertility rate,tfr,1801,4.78
"Macao, China",mac,Total fertility rate,tfr,1801,5.51
"Macedonia, FYR",mkd,Total fertility rate,tfr,1801,5.9
Madagascar,mdg,Total fertility rate,tfr,1801,6.89
Malawi,mwi,Total fertility rate,tfr,1801,6.78
Malaysia,mys,Total fertility rate,tfr,1801,5.45
Maldives,mdv,Total fertility rate,tfr,1801,5.98
Mali,mli,Total fertility rate,tfr,1801,6.23
Malta,mlt,Total fertility rate,tfr,1801,5.49
Martinique,mtq,Total fertility rate,tfr,1801,5.71
Mauritania,mrt,Total fertility rate,tfr,1801,6.34
Mauritius,mus,Total fertility rate,tfr,1801,5.03
Mayotte,myt,Total fertility rate,tfr,1801,7.07
Mexico,mex,Total fertility rate,tfr,1801,6.8
"Micronesia, Fed. Sts.",fsm,Total fertility rate,tfr,1801,6.02
Moldova,mda,Total fertility rate,tfr,1801,6.39
Mongolia,mng,Total fertility rate,tfr,1801,5.94
Montenegro,mne,Total fertility rate,tfr,1801,5.9
Morocco,mar,Total fertility rate,tfr,1801,6.5
Mozambique,moz,Total fertility rate,tfr,1801,6.63
Myanmar,mmr,Total fertility rate,tfr,1801,6.03
Namibia,nam,Total fertility rate,tfr,1801,5.96
Nepal,npl,Total fertility rate,tfr,1801,6.15
Netherlands,nld,Total fertility rate,tfr,1801,5.11
Netherlands Antilles,ant,Total fertility rate,tfr,1801,5.8
New Caledonia,ncl,Total fertility rate,tfr,1801,6.41
New Zealand,nzl,Total fertility rate,tfr,1801,5.25
Nicaragua,nic,Total fertility rate,tfr,1801,6.16
Niger,ner,Total fertility rate,tfr,1801,6.83
Nigeria,nga,Total fertility rate,tfr,1801,6.55
Norway,nor,Total fertility rate,tfr,1801,4.07
Oman,omn,Total fertility rate,tfr,1801,6.88
Pakistan,pak,Total fertility rate,tfr,1801,6.59
Panama,pan,Total fertility rate,tfr,1801,5.36
Papua New Guinea,png,Total fertility rate,tfr,1801,6.23
Paraguay,pry,Total fertility rate,tfr,1801,6.49
Peru,per,Total fertility rate,tfr,1801,6.82
Philippines,phl,Total fertility rate,tfr,1801,6.41
Poland,pol,Total fertility rate,tfr,1801,6.26
Portugal,prt,Total fertility rate,tfr,1801,4.5
Puerto Rico,pri,Total fertility rate,tfr,1801,5.15
Qatar,qat,Total fertility rate,tfr,1801,6.97
Reunion,reu,Total fertility rate,tfr,1801,6.51
Romania,rou,Total fertility rate,tfr,1801,5.22
Russia,rus,Total fertility rate,tfr,1801,7.0
Rwanda,rwa,Total fertility rate,tfr,1801,7.07
St. Lucia,lca,Total fertility rate,tfr,1801,5.53
St. Vincent and the Grenadines,vct,Total fertility rate,tfr,1801,6.54
Samoa,wsm,Total fertility rate,tfr,1801,6.98
Sao Tome and Principe,stp,Total fertility rate,tfr,1801,6.23
Saudi Arabia,sau,Total fertility rate,tfr,1801,6.86
Senegal,sen,Total fertility rate,tfr,1801,5.7
Serbia,srb,Total fertility rate,tfr,1801,5.9
Seychelles,syc,Total fertility rate,tfr,1801,5.16
Sierra Leone,sle,Total fertility rate,tfr,1801,5.72
Singapore,sgp,Total fertility rate,tfr,1801,5.47
Slovak Republic,svk,Total fertility rate,tfr,1801,5.94
Slovenia,svn,Total fertility rate,tfr,1801,4.92
Solomon Islands,slb,Total fertility rate,tfr,1801,6.42
Somalia,som,Total fertility rate,tfr,1801,6.87
South Africa,zaf,Total fertility rate,tfr,1801,6.47
Spain,esp,Total fertility rate,tfr,1801,5.13
Sri Lanka,lka,Total fertility rate,tfr,1801,5.68
Sudan,sdn,Total fertility rate,tfr,1801,6.64
Suriname,sur,Total fertility rate,tfr,1801,6.58
Swaziland,swz,Total fertility rate,tfr,1801,6.71
Sweden,swe,Total fertility rate,tfr,1801,4.26
Switzerland,che,Total fertility rate,tfr,1801,4.14
Syria,syr,Total fertility rate,tfr,1801,6.85
Taiwan,twn,Total fertility rate,tfr,1801,5.83
Tajikistan,tjk,Total fertility rate,tfr,1801,5.87
Tanzania,tza,Total fertility rate,tfr,1801,6.74
Thailand,tha,Total fertility rate,tfr,1801,6.35
Timor-Leste,tls,Total fertility rate,tfr,1801,6.52
Togo,tgo,Total fertility rate,tfr,1801,6.34
Tonga,ton,Total fertility rate,tfr,1801,6.51
Trinidad and Tobago,tto,Total fertility rate,tfr,1801,4.44
Tunisia,tun,Total fertility rate,tfr,1801,6.4
Turkey,tur,Total fertility rate,tfr,1801,6.92
Turkmenistan,tkm,Total fertility rate,tfr,1801,6.22
Uganda,uga,Total fertility rate,tfr,1801,6.89
Ukraine,ukr,Total fertility rate,tfr,1801,7.5
United Arab Emirates,are,Total fertility rate,tfr,1801,6.94
United Kingdom,gbr,Total fertility rate,tfr,1801,4.6
United States,usa,Total fertility rate,tfr,1801,7.01
Uruguay,ury,Total fertility rate,tfr,1801,5.97
Uzbekistan,uzb,Total fertility rate,tfr,1801,5.71
Vanuatu,vut,Total fertility rate,tfr,1801,6.6
Venezuela,ven,Total fertility rate,tfr,1801,5.63
Palestine,pse,Total fertility rate,tfr,1801,6.97
Western Sahara,esh,Total fertility rate,tfr,1801,6.32
Vietnam,vnm,Total fertility rate,tfr,1801,4.7
Virgin Islands (U.S.),vir,Total fertility rate,tfr,1801,5.55
Yemen,yem,Total fertility rate,tfr,1801,6.88
Zambia,zmb,Total fertility rate,tfr,1801,6.71
Zimbabwe,zwe,Total fertility rate,tfr,1801,6.75
